"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"43885-67312","C","Thomas","Thomas Bryant","Bryant","26.677419354838708","31","4000","MIL@WAS","WAS","MIL","","","","",""
"43885-22541","C","Kelly","Kelly Olynyk","Olynyk","17.23","50","3900","MIA@CLE","MIA","CLE","","","","",""
"43885-70826","SG","Furkan","Furkan Korkmaz","Korkmaz","15.35892813546317","56","3900","ATL@PHI","PHI","ATL","","","","",""
"43885-15560","PG","Shabazz","Shabazz Napier","Napier","22.385714576357888","42","3900","MIL@WAS","WAS","MIL","","","","",""
"43885-84714","C","Moritz","Moritz Wagner","Wagner","21.482758620689655","29","3900","MIL@WAS","WAS","MIL","","","","",""
"43885-84724","PG","Landry","Landry Shamet","Shamet","16.8025637895633","39","3900","MEM@LAC","LAC","MEM","","","","",""
"43885-16201","PG","Michael","Michael Carter-Williams","Carter-Williams","17.966667406486742","33","3900","ORL@BKN","ORL","BKN","","","","",""
"43885-42156","C","Bobby","Bobby Portis","Portis","19.244641985212052","56","3800","NY@HOU","NY","HOU","","","","",""
"43885-84705","PF","Omari","Omari Spellman","Spellman","16.740816077407526","49","3800","MIN@DAL","MIN","DAL","","","","",""
"43885-9956","SG","Wayne","Wayne Ellington","Ellington","9.471429007393974","28","3800","NY@HOU","NY","HOU","GTD","Ankle","","",""
"43885-58084","SF","Justise","Justise Winslow","Winslow","26.327273282137785","11","3800","MEM@LAC","MEM","LAC","GTD","Back","","",""
"43885-23800","SF","Glenn","Glenn Robinson","Robinson","23.123077392578125","52","3800","ATL@PHI","PHI","ATL","","","","",""
"43885-110333","SF","Jarrett","Jarrett Culver","Culver","19.396296748408563","54","3800","MIN@DAL","MIN","DAL","","","","",""
"43885-15405","PF","JaMychal","JaMychal Green","Green","16.668085625831118","47","3700","MEM@LAC","LAC","MEM","","","","",""
"43885-117913","C","Anzejs","Anzejs Pasecniks","Pasecniks","15.464999389648437","20","3700","MIL@WAS","WAS","MIL","","","","",""
"43885-70825","SG","Timothe","Timothe Luwawu-Cabarrot","Luwawu-Cabarrot","9.970000203450521","30","3700","ORL@BKN","BKN","ORL","","","","",""
"43885-84675","C","Mo","Mo Bamba","Bamba","16.95098039215686","51","3700","ORL@BKN","ORL","BKN","","","","",""
"43885-58081","PG","Tyus","Tyus Jones","Jones","17.7999997820173","56","3700","MEM@LAC","MEM","LAC","","","","",""
"43885-110316","SF","Cameron","Cameron Johnson","Johnson","14.82499972256747","44","3700","PHO@UTA","PHO","UTA","","","","",""
"43885-84722","SF","Isaac","Isaac Bonga","Bonga","12.58","50","3700","MIL@WAS","WAS","MIL","","","","",""
"43885-9466","PG","D.J.","D.J. Augustin","Augustin","21.00500030517578","40","3700","ORL@BKN","ORL","BKN","","","","",""
"43885-55055","PG","Dante","Dante Exum","Exum","9.53529447667739","34","3700","MIA@CLE","CLE","MIA","","","","",""
"43885-16178","SF","Maurice","Maurice Harkless","Harkless","15.376922607421875","52","3700","NY@HOU","NY","HOU","","","","",""
"43885-17384","C","Kyle","Kyle O'Quinn","O'Quinn","12.100000554865057","22","3700","ATL@PHI","PHI","ATL","","","","",""
"43885-37931","C","Aron","Aron Baynes","Baynes","21.534286063058037","35","3600","PHO@UTA","PHO","UTA","GTD","Hip","","",""
"43885-15993","SG","Pat","Pat Connaughton","Connaughton","14.182692307692308","52","3600","MIL@WAS","MIL","WAS","","","","",""
